"TradingName","Address","PremisesUse","Ward","URL","lat","long","IssuedDate"
"Wineweaver","2.07 Second Floor 83 Victoria Street London SW1H 0HW","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LLAKYVRP10L00","51.49740748","-.13501848","2011-06-22 00:00:00"
"Friends Supermarket","82 Lupus Street London SW1V 3EL","Type - Shop","Warwick","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L73FJGRP1EH00","51.48779977","-.14215161","2010-08-13 00:00:00"
"Purple Dragon","Basement And Ground Floor Bramah House 9 Gatliff Road London SW1W 8DP","Type - Leisure (other)","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LS6U8WRP17S00","51.48720887","-.14857092","2012-01-13 00:00:00"
"Odeon Cinema","11-18 Panton Street London SW1Y 4DP","Type - Cinema","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J5FJ2KRP5P000","51.50952388","-.13128130","2006-12-12 00:00:00"
"Diageo PLC","Fourth Floor Distillers House 20 - 21 St James's Square London SW1Y 4JH","Type - Office","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LBKEDURP10L00","51.50655072","-.13601412","2010-12-24 00:00:00"
"The Golden Oven","Ground Floor 22 Bateman Street London W1D 3AL","Type - Cafe","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J28FYARPZ9000","51.51427342","-.13137518","2006-11-21 00:00:00"
"Thirst","Ground Floor And Basement 53 Greek Street London W1D 3DR","Type - Wine bar","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MI7XSPRP1IC00","51.51428956","-.13125922","2013-05-10 00:00:00"
"Royal Society Of Medicine","Royal Society Of Medicine 1 Wimpole Street London W1G 8GP","Type - Office","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J7L0YURPVP000","51.51601542","-.14708602","2007-03-14 00:00:00"
"Caffe Concerto","61 Piccadilly London W1J 0DY","Type - Cafe","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M42IKIRP17S00","51.50804286","-.14050691","2012-06-25 00:00:00"
"Pink Lady","17 Little Portland Street London W1W 8BW","Type - Club or institution","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MAX03ARP1DX00","51.51698324","-.14175710","2012-12-12 00:00:00"
"Tinello","87 Pimlico Road London SW1W 8PH","Type - Restaurant","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L4RSRBRP08700","51.49003925","-.15413171","2010-07-26 00:00:00"
"The Rising Sun Public House","46 Ebury Bridge Road London SW1W 8PZ","Type - Pub or pub restaurant with lodge","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J5J48VRPXE000","51.48980168","-.15046813","2007-01-05 00:00:00"
"Mall Galleries","17 Carlton House Terrace London SW1Y 5BD","Type - Museums & Art Galleries","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MMJ12CRP17S00","51.50671873","-.13018563","2013-06-21 00:00:00"
"Thai Square Club","Basement Norway House 21-24 Cockspur Street London SW1Y 5BN","Type - Night clubs and discos","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JBLLKKRPYQ000","51.50739089","-.13004283","2012-02-14 00:00:00"
"Koya Bar","Ground Floor 50 Frith Street London W1D 4SQ","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MN72NSRP1GC00","51.51363212","-.13176173","2013-11-05 00:00:00"
"G-A-Y Bar","Basement To First Floor 30 Old Compton Street London W1D 4TP","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KF5NLORP10000","51.51353170","-.13110288","2013-05-16 00:00:00"
"Three Greyhounds Public House","25 Greek Street London W1D 5DD","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MB9ET7RP1GC00","51.51345616","-.13031330","2012-11-19 00:00:00"
"Le Gavroche","43 Upper Brook Street London W1K 7QR","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J1Z31URPBP000","51.51127777","-.15516129","2007-01-19 00:00:00"
"The Lancaster London","Royal Lancaster Hotel Lancaster Terrace London W2 2TY","Type - Hotel, 4+ star or major chain","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MQQR7IRP1GC00","51.51220495","-.17534339","2013-09-17 00:00:00"
"The Warwick Castle","6 Warwick Place London W9 2PX","Type - Pub or pub restaurant with lodge","Little Venice","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M0M7G0RP1IC00","51.52208601","-.18392886","2012-06-19 00:00:00"
"Moti Mahal","45 Great Queen Street London WC2B 5AA","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L2RN80RP1DX00","51.51471194","-.12167202","2010-08-09 00:00:00"
"Browns","2 Cardinal Walk London SW1E 5JE","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MRH310RP17S00","51.49726404","-.14127697","2013-11-08 00:00:00"
"SW1 Gallery","12 Cardinal Walk London SW1E 5JE","Type - Museums & Art Galleries","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M2MF7LRP17S00","51.49738552","-.14099829","2012-05-11 00:00:00"
"La Tasca","6 Cathedral Walk London SW1E 5JH","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=ME3NUARP1IC00","51.49708782","-.14093837","2013-01-08 00:00:00"
"Tesco","Ground Floor 2 - 4 Dean Street London W1D 3RG","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MMY358RP1GC00","51.51563785","-.13348126","2013-06-10 00:00:00"
"Old Star Public House","66 Broadway London SW1H 0DB","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MLT0NFRP0R000","51.49995014","-.13374765","2013-05-14 00:00:00"
"Villandry","12 Waterloo Place London SW1Y 4AU","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MUB1KNRP1GC00","51.50760358","-.13323320","2014-02-12 00:00:00"
"Busaba","32-34 Panton Street London SW1Y 4EA","Type - Night clubs and discos","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LGCVGJRP1EH00","51.50976005","-.13143015","2011-03-10 00:00:00"
"Paper Club","32-34 Panton Street London SW1Y 4EA","Type - Night clubs and discos","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M9XM8ORP1IC00","51.50976005","-.13143015","2012-11-28 00:00:00"
"Pizza Express","Ground Floor Panton House 25 Haymarket London SW1Y 4EN","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MHPI0NRP1IC00","51.50946804","-.13229234","2013-02-27 00:00:00"
"Giraffe Restaurant","6-8 Blandford Street London W1U 4AU","Type - Restaurant","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=M0J0H7RP1DX00","51.51849509","-.15207342","2012-03-30 00:00:00"
"Cock Tavern Public House","27 Great Portland Street London W1W 8QE","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MV2HUYRP1FN00","51.51683557","-.14151809","2013-11-20 00:00:00"
"Adam & Eve","81 Petty France London SW1H 9EX","Type - Public house or pub restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=L7NSBZRP0ZT00","51.49941420","-.13567135","2011-08-15 00:00:00"
"Thai Square","Ground Floor Norway House 21-24 Cockspur Street London SW1Y 5BN","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LKRTE5RP10L00","51.50739089","-.13004283","2011-06-21 00:00:00"
"Caffe Nero","Ground Floor 43 Frith Street London W1D 4SA","Type - Cafe","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J211ITRPZ9000","51.51329479","-.13147287","2007-01-27 00:00:00"
"Golden Lion Public House","51 Dean Street London W1D 5BH","Type - Public house or pub restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LZ2OW7RP17S00","51.51252332","-.13159091","2012-03-02 00:00:00"
"Y Ming","35-36 Greek Street London W1D 5DN","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J1TJDBRPBP000","51.51298056","-.13037601","2006-10-12 00:00:00"
"The Hellenic Centre","16-18 Paddington Street London W1U 5AS","Type - Leisure (other)","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J2LIVMRP5I000","51.52096512","-.15360227","2006-10-30 00:00:00"
"Queensway Food & Wine","37 Queensway London W2 4QJ","Type - Food store","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J6VLE0RPVP000","51.51135993","-.18754034","2006-10-19 00:00:00"
"Royal China Chinese Restaurant","13 Queensway London W2 4QJ","Type - Restaurant","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MC37NNRP17S00","51.51095329","-.18741237","2012-11-06 00:00:00"
"Porridge","Lauderdale Parade 12 - 12A Lauderdale Road London W9 1LU","Type - Cafe","Maida Vale","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JKYC82RP0F000","51.52748258","-.18923565","2007-07-31 00:00:00"
"Spirited Wines","4 Lauderdale Parade Lauderdale Road London W9 1LU","Type - Shop","Maida Vale","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MPBA8IRP0R000","51.52749192","-.18984077","2013-07-19 00:00:00"
"Wine Rack","Ground Floor 237 Elgin Avenue London W9 1NJ","Type - Shop","Maida Vale","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KVIIYFRP10000","51.53013191","-.18610290","2014-02-05 00:00:00"
"Be At One","23-24 Russell Street London WC2B 5HF","Type - Night clubs and discos","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MTL3NZRP1GC00","51.51283442","-.12123042","2013-10-30 00:00:00"
"Fortune Theatre","Fortune Theatre Russell Street London WC2B 5HH","Type - Theatre","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MFP78PRP1GC00","51.51325840","-.12075179","2013-02-19 00:00:00"
"Royal College Of Obsetriticians And Gynaecologists","Basement And Ground Floor 27 Sussex Place Regents Park London NW1 4RG","Type - Clubhouse","Regent's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=JCS4DZRP4E000","51.52681826","-.16213060","2007-06-03 00:00:00"
"The Windsor Castle Public House","Windsor Castle 98 Park Road London NW1 4SH","Type - Public house or pub restaurant","Regent's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MTSIT1RP1GC00","51.52649541","-.16218685","2013-11-07 00:00:00"
"Majestic Wine Warehouse","Terminal House 52 Grosvenor Gardens London SW1W 0AU","Type - Shop","Warwick","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MIIR7URP0R000","51.49582424","-.14575834","2013-04-08 00:00:00"
"The Star Tavern","6 Belgrave Mews West London SW1X 8HT","Type - Restaurant","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MHWMSNRP1GC00","51.49838557","-.15592681","2013-02-28 00:00:00"
"Baker Street News","202 Baker Street London NW1 5RT","Type - Shop","Regent's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MN7BGLRP1GC00","51.52282725","-.15764965","2013-08-30 00:00:00"
"Pizza Express","85 Victoria Street London SW1H 0HW","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MXJEGRRP1GC00","51.49740863","-.13509047","2014-02-03 00:00:00"
"Fox & Hounds Public House","29 Passmore Street London SW1W 8HR","Type - Public house or pub restaurant","Churchill","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J8TYO2RPWP000","51.49108655","-.15496811","2011-02-15 00:00:00"
"Jindalle Restaurant","Basement And Ground Floor 6 Panton Street London SW1Y 4DL","Type - Restaurant","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=J4GGX3RPBP000","51.50932613","-.13185141","2006-11-15 00:00:00"
"Marks & Spencer Plc","169-173 Oxford Street London W1D 2JR","Type - Shop (very large)","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LQFUZQRP17S00","51.51508043","-.13801520","2011-09-22 00:00:00"
"Zayna Restaurant","25 New Quebec Street London W1H 7SF","Type - Restaurant","Bryanston and Dorset Square","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=K712GWRP13L00","51.51495240","-.15838536","2012-12-18 00:00:00"
"Royal Academy Of Arts","Royal Academy Of Arts Burlington House 49-52 Piccadilly London W1J 0AN","Type - Club or institution","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KVGL3TRP13L00","51.50910779","-.13961331","2010-03-04 00:00:00"
"Society Of Antiquaries","Basement Left Burlington House Piccadilly London W1J 0BE","Type - HQs and Institutional Offices","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=KC2WBCRP10100","51.50874185","-.13978674","2009-02-23 00:00:00"
"Caffe Concerto","29-31 Piccadilly London W1J 0LF","Type - Restaurant","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=LGB2LXRP10000","51.50927059","-.13683981","2011-04-07 00:00:00"
"Mayfair Food Fayre","Basement And Ground Floor 25 North Audley Street London W1K 6WS","Type - Shop","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MWIEJGRP1FN00","51.51332501","-.15382473","2013-12-05 00:00:00"
