"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2013-04-10 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","Yes","NO","NO"
"2012-09-18 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","NO","NO","Yes"
"2013-12-27 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","Yes","NO","NO"
"2012-09-12 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","NO","NO","Yes"
"2013-04-06 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","NO","NO","Yes"
"2013-01-05 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","NO","NO","Yes"
"2013-08-19 00:00:00","HAUNCH OF VENISON YARD","51.5136905","-0.1472868","528659","181044","NO","Yes","NO","NO"
"2012-06-25 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-11-16 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-07-25 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-07-25 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","Yes"
"2012-09-18 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","Yes"
"2012-05-01 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2014-01-09 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","Yes","NO","NO","NO"
"2013-08-20 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-09-04 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","Yes","Yes","NO","NO"
"2012-06-29 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-08-06 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","Yes","NO","NO","Yes"
"2012-05-23 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","Yes","NO","NO","Yes"
"2012-05-30 00:00:00","BATEMAN'S BUILDINGS","51.5141318","-0.1313876","529761","181121","NO","Yes","NO","NO"
"2012-09-03 00:00:00","PALL MALL","51.5061914","-0.1353760","529507","180231","NO","NO","NO","Yes"
"2013-04-02 00:00:00","PALL MALL","51.5061914","-0.1353760","529507","180231","Yes","NO","NO","NO"
"2013-04-05 00:00:00","VERE STREET","51.5146467","-0.1469021","528683","181151","NO","NO","Yes","NO"
"2013-03-20 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2013-12-19 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","NO","NO","Yes"
"2013-12-24 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","Yes","NO","NO","Yes"
"2013-03-06 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2012-07-03 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2012-07-27 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","Yes","NO","NO","NO"
"2012-11-13 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2012-05-29 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","NO","NO","Yes"
"2013-10-07 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2013-04-15 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","NO","NO","Yes"
"2013-07-25 00:00:00","EMBANKMENT PLACE","51.5067210","-0.1231922","530351","180311","NO","Yes","NO","NO"
"2012-12-31 00:00:00","MEDWAY STREET","51.4954247","-0.1318781","529780","179040","NO","Yes","NO","NO"
"2012-05-11 00:00:00","NEWMAN STREET","51.5188955","-0.1369568","529361","181641","NO","NO","Yes","NO"
"2012-08-27 00:00:00","PRINCES MEWS","51.5124654","-0.1931362","525481","180828","NO","NO","NO","Yes"
"2013-10-27 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","Yes","NO","NO","NO"
"2013-09-28 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","Yes","NO","NO","NO"
"2013-12-14 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","Yes","NO","NO","NO"
"2013-12-14 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","Yes","NO","NO","NO"
"2012-09-03 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","NO","Yes","NO","NO"
"2012-12-14 00:00:00","RUPERT STREET","51.5114824","-0.1330534","529653","180823","Yes","NO","NO","NO"
"2013-05-03 00:00:00","TACHBROOK STREET","51.4919583","-0.1384015","529337","178643","NO","Yes","NO","NO"
"2013-05-07 00:00:00","TACHBROOK STREET","51.4919583","-0.1384015","529337","178643","NO","Yes","NO","NO"
"2012-11-16 00:00:00","TACHBROOK STREET","51.4919583","-0.1384015","529337","178643","NO","Yes","NO","NO"
"2013-07-12 00:00:00","TACHBROOK STREET","51.4919583","-0.1384015","529337","178643","NO","Yes","NO","NO"
"2013-07-16 00:00:00","TACHBROOK STREET","51.4919583","-0.1384015","529337","178643","NO","Yes","NO","NO"
"2012-06-13 00:00:00","FOUBERT'S PLACE","51.5138320","-0.1389227","529239","181074","NO","Yes","NO","NO"
"2012-11-10 00:00:00","FOUBERT'S PLACE","51.5138320","-0.1389227","529239","181074","NO","Yes","NO","NO"
"2012-06-27 00:00:00","BATHURST MEWS","51.5133773","-0.1746162","526764","180961","NO","Yes","NO","NO"
"2012-08-17 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","NO","NO","Yes"
"2012-08-31 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-06-11 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-10-23 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2014-01-02 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-12 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","NO","NO","Yes"
"2013-01-07 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","Yes","Yes","NO","NO"
"2012-07-19 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-01 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-09-03 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","NO","NO","Yes"
"2012-11-06 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-11-08 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2012-11-08 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-06-01 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
"2013-08-27 00:00:00","GOODWIN'S COURT","51.5108597","-0.1270238","530073","180765","NO","Yes","NO","NO"
