"LicenceDetails","TradingName","Address","PremisesUse","ApplicationType","ApplicationTypeCode","Status","Ward","URL","lat","long","RepresentationResponseDate"
"Review of a Premises Licence","Burger King","70 - 72 Queensway London W2 3RL","Type - Restaurant","Review of a Premises Licence","LIREVP","Checks Outstanding","Lancaster Gate","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MW5QCQRP0R000","51.51257094","-.18734816","2013-12-10 00:00:00"
"Master Licence - Premises Licence","Wild Tree","Ground Floor 16 Irving Street London WC2H 7AU","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XOEARP1GC00","51.50978554","-.12908012","2014-02-20 00:00:00"
"Premises Licence - New","Royal Over-seas League","Overseas House Park Place London SW1A 1LR","Type - Club or institution","Premises Licence - New","LIPN","Checks Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZE0A6RP0R000","51.50632868","-.14072079","2014-02-10 00:00:00"
"Master Licence - Premises Licence","Basement 92","Basement And Ground Floor 90-92 Wigmore Street London W1U 3RF","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0VRUFRP1FN00","51.51611010","-.15137723","2014-02-21 00:00:00"
"Premises Licence - New","Smith & Wollensky","The Adelphi 1-11 John Adam Street London WC2N 6HT","Type - Restaurant","Premises Licence - New","LIPN","Checks Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MY2F1VRP1GC00","51.50910085","-.12224865","2014-01-27 00:00:00"
"Not Recorded","Miabella London","Basement 12-13 Greek Street London W1D 4DL","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XIVGRP0R000","51.51437392","-.13090987","2014-02-24 00:00:00"
"Premises Licence - New","Fischer's","50 Marylebone High Street London W1U 5HN","Type - Restaurant","Premises Licence - Variation","LIPV","Consultees Outstanding","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0MT6DRP1FN00","51.52161612","-.15154347","2014-03-07 00:00:00"
"Premises Licence - New","The Boulevard Theatre","8 - 9 Walker's Court London W1F 0BY","Type - Theatre","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MXJT68RP1GC00","51.51249246","-.13417189","2014-01-06 00:00:00"
"Premises Licence - New","Dunhill Tobacco Of London","Basement To Ground Floor 65 Pall Mall London SW1Y 5HZ","Type - Shop","Premises Licence - New","LIPN","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZJUH3RP0R000","51.50540320","-.13793419","2014-02-14 00:00:00"
"Not Recorded","Carolina Chicken","546 Harrow Road London W9 3QG","Type - Takeaway food outlet","Premises Licence - Variation","LIPV","Consultees Outstanding","Queen's Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N02DXIRP17S00","51.52582564","-.20429392","2014-02-24 00:00:00"
"Premises Licence - New","Jamie's Italian","17 Denman Street London W1D 7HW","Type - Restaurant","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZV3DFRP1GC00","51.51067659","-.13534133","2014-02-20 00:00:00"
"Premises Licence - New","Om Sai News","63A Cleveland Street London W1T 4JS","Type - Shop","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZ32NFRP0R000","51.52069141","-.13912689","2014-02-26 00:00:00"
"Master Licence - Premises Licence","The Royal Institute Of British Architects","66 Portland Place London W1B 1AD","Type - Club or institution","Premises Licence - Variation","LIPV","Consultees Outstanding","Marylebone High Street","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZRE7ZRP1GC00","51.52133110","-.14488107","2014-02-18 00:00:00"
"Premises Licence - New","Maverick","16 Buckingham Palace Road London SW1W 0QP","Type - Restaurant","Premises Licence - New","LIPN","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZI4N6RP0R000","51.49782736","-.14448125","2014-02-12 00:00:00"
"Premises Licence - New","Delice De France","Unit 50 Main Concourse Victoria Station Terminus Place London SW1V 1JT","Type - Shop","Premises Licence - New","LIPN","Consultees Outstanding","Warwick","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N07ZIIRP1RW00","51.49498390","-.14436622","2014-02-27 00:00:00"
"Premises Licence - New","Jazz Suite","Ground Floor 37-38 Margaret Street London W1G 0JF","Type - Night clubs and discos","Premises Licence - New","LIPN","Checks Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MX8CNIRP17S00","51.51621065","-.14294158","2013-12-30 00:00:00"
"Premises Licence - New","The Lodge","Hyde Park Corner Lodge Hyde Park Corner London W1J 7NT","Type - Cafe","Premises Licence - New","LIPN","Checks Outstanding","Knightsbridge and Belgravia","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZJWN6RP1GC00","51.50318459","-.15288015","2014-02-14 00:00:00"
"Premises Licence - New","Araki","12 New Burlington Street London W1S 3BF","Revised Type - Restaurant","Premises Licence - New","LIPN","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XUKXRP0R000","51.51159238","-.14034797","2014-03-13 00:00:00"
"Master Licence - Premises Licence","Byron","5 Langham Place London W1B 3DG","Type - Restaurant","Premises Licence - Variation","LIPV","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N049ESRP1FN00","51.51765409","-.14266667","2014-03-09 00:00:00"
"Premises Licence - New","The Strand Dining Rooms","Grand Buildings 1 - 3 Strand London WC2N 5HE","Type - Restaurant","Premises Licence - New","LIPN","Consultees Outstanding","St James's","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=MZPHUJRP0R000","51.50753622","-.12618934","2014-02-17 00:00:00"
"Master Licence - Premises Licence","Balans Restaurant","Ground Floor 60-62 Old Compton Street London W1D 4UG","Type - Restaurant","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N0XSDZRP1FN00","51.51293708","-.13272694","2014-02-25 00:00:00"
"Premises Licence - New","Punchdrunk","Paddington Sorting & Delivery 31 London Street London W2 1DJ","Type - Theatre","Premises Licence - New","LIPN","Consultees Outstanding","Hyde Park","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N05RW5RP1GC00","51.51638520","-.17526282","2014-02-25 00:00:00"
"Master Licence - Premises Licence","Radisson Edwardian Mayfair Hotel","17 Stratton Street London W1J 8LT","Type - Hotel, 4+ star or major chain","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N062YCRP1GC00","51.50791959","-.14464769","2014-02-11 00:00:00"
"Query","Stamp","79 Oxford Street London W1D 2ES","Type - Night clubs and discos","Premises Licence - Variation - Minor","LIPVM","Consultees Outstanding","West End","http://idoxpa.westminster.gov.uk/online-applications/licencingApplicationDetails.do?activeTab=summary&keyVal=N09IHIRP1FN00","51.51589406","-.13375904","2014-02-13 00:00:00"
